Sr_no,EDB_ZAMENSKI,oznakaEDB,dejnost,return_no,ID,pol_mz,godinaEMBG,Gross_income,Social_Security_Contributions,Tax_Relief,PDD,NETO,VIDISPLATA1,CALC,NORMIRANI,DANOCNA_OSNOVA
212,6.26E+12,PL,14.13,1,569492,Z,1974,190636,53781,89373,4748,132100,1,1,0,47480
213,8.13E+12,PL,62.09,1,192652,Z,1973,371082,100194,82017,18888,252000,1,1,0,188880
217,3.34E+11,PL,96.03,1,827825,M,1962,125544,33894,29824,6182,85468,1,1,0,61820
220,6.89E+12,PL,84.11,1,253096,Z,1960,773550,208863,89373,47530,517157,1,1,0,475300
223,7.43E+12,PL,47.71,1,701926,Z,1980,16070,4339,6778,495,11236,1,1,0,4950
225,9.53E+12,PL,59.11,1,477503,M,1992,257584,69547,67104,12092,175945,1,1,0,120920
230,1.48E+12,PL,13.92,1,420009,M,1973,225136,61384,89370,7440,156312,1,1,0,74400
232,5.26E+12,PL,63.11,1,534375,Z,1972,843842,227841,89472,52654,563347,1,1,0,526540
235,1.13E+12,PL,71.12,1,142364,M,1959,680448,183720,89472,40728,456000,1,1,0,407280
239,9.54E+12,PL,86.21,1,53275,Z,1970,262212,70804,89472,10196,181212,1,1,0,101960
241,3.54E+12,PL,14.13,1,473710,Z,1960,187574,53669,89373,4454,129451,1,1,0,44540
243,A358199827138,PL,46.38,1,988392,M,1970,51390,13875,22368,1515,36000,1,1,0,15150
246,33498482972,PL,49.31,1,866292,M,1985,764940,206532,89373,46902,511506,1,1,0,469020
250,2.87E+11,PL,85.42,1,190132,M,1970,403494,108951,89373,20519,274024,1,1,0,205190
251,5.86E+12,PL,84.12,1,799084,M,1965,14828,3929,6100,480,10419,1,1,0,4800
252,4.92E+11,PL,47.71,1,660665,Z,1983,100344,27096,44736,2848,70400,1,1,0,28480
255,4.97E+12,PL,84.24,1,565590,M,1988,703898,190051,89373,42450,471397,1,1,0,424500
256,7.00E+12,PL,42.11,1,127065,M,1970,293865,79948,89373,12454,201463,1,1,0,124540
258,2.78E+11,PL,47.73,1,77098,Z,1986,112513,31009,50836,3068,78436,1,1,0,30680
259,9.61E+12,PL,25.93,1,970651,M,1997,94839,25607,37272,3196,66036,1,1,0,31960
260,3.05E+12,PL,85.32,1,792438,Z,1979,400611,108172,89373,20303,272136,1,1,0,203030
262,8.56E+12,PL,14.13,1,663434,Z,1994,188052,52220,85922,4991,130841,1,1,0,49910
263,5.86E+12,PL,84.12,1,539692,Z,1991,34993,9274,12879,1284,24435,1,1,0,12840
265,6.98E+12,PL,85.32,1,825338,M,1963,441014,119077,89373,23254,298683,1,1,0,232540
271,4.99E+12,PL,31.09,1,311536,M,1967,131512,35504,59648,3640,92368,1,1,0,36400
273,6.11E+12,PL,64.19,1,284838,Z,1984,651937,176018,87100,38882,437037,1,1,0,388820
275,A108064359987,PL,14.13,1,986983,Z,1983,183686,53223,87521,4499,125964,1,1,0,44990
276,4.87E+12,PL,84.11,1,99445,M,1957,757307,204471,89373,46349,506487,1,1,0,463490
278,8.21E+12,PL,49.41,1,982335,Z,1989,192336,51225,86363,5475,135636,1,1,0,54750
283,4.40E+12,PL,92,1,538980,Z,1976,304432,82202,89472,13276,208954,1,1,0,132760
284,2.90E+12,PL,24.45,1,744480,M,1963,401789,108487,81707,21159,272143,1,1,0,211590
285,2.73E+12,PL,36,1,137258,M,1975,294143,82734,86159,12525,198884,1,1,0,125250
289,4.78E+12,PL,47.51,1,868274,Z,1981,172590,49635,82016,4096,118859,1,1,0,40960
290,7.54E+12,PL,47.51,1,868060,Z,1976,14197,3832,6445,392,9973,1,1,0,3920
296,9.41E+12,PL,85.32,1,889927,Z,1971,417146,112632,89472,21504,283010,1,1,0,215040
298,1.22E+12,PL,47.11,1,438603,M,1993,90507,24445,37990,2807,63255,1,1,0,28070
300,9.76E+12,PL,46.45,1,182720,Z,1975,359800,97142,89373,17329,245329,1,1,0,173290
302,4.89E+12,PL,84.13,1,210757,M,1984,377726,101982,89373,18641,257103,1,1,0,186410
304,4.97E+12,PL,84.24,1,490028,Z,1979,661695,178653,89373,39368,443674,1,1,0,393680
306,2.39E+12,PL,85.32,1,320206,Z,1974,414038,111787,89373,21286,280965,1,1,0,212860
307,6.94E+12,PL,56.1,1,670754,M,1983,199320,54417,89472,5543,139360,1,1,0,55430
308,3.65E+12,PL,47.71,1,482738,M,1994,200032,54004,89508,5652,140376,1,1,0,56520
315,2.89E+12,PL,10.71,1,192303,Z,1964,350029,94509,89373,16615,238905,1,1,0,166150
317,3.49E+12,PL,29.31,1,623453,M,1977,118572,32014,45638,4092,82466,1,1,0,40920
320,3.96E+12,PL,35.13,1,509090,M,1976,527972,142556,89472,29593,355823,1,1,0,295930
321,A307511356517,PL,14.13,1,804545,Z,1976,33121,9165,14912,906,23050,1,1,0,9060
326,6.46E+12,PL,49.41,1,539028,M,1977,61675,16657,26841,1818,43200,1,1,0,18180
327,4.79E+12,SVD,47.72,1,277854,M,1981,192783,54004,89459,4932,133847,1,1,0,49320
328,2.83E+12,PL,47.11,1,450471,Z,1988,229839,62057,89472,7832,159950,1,1,0,78320
331,8.86E+12,PL,85.2,1,150423,Z,1953,443282,119696,89373,23420,300166,1,1,0,234200
334,6.34E+12,PL,92,1,26346,M,1965,130797,35317,55110,4037,91443,1,1,0,40370
335,7.16E+12,PL,92,1,275907,M,1992,257789,69606,89373,9881,178302,1,1,0,98810
338,1.39E+12,PL,47.78,1,446490,M,1976,589120,159064,89472,34056,396000,1,1,0,340560
340,1.55E+12,PL,85.53,1,339495,M,1974,196758,54106,89373,5332,137320,1,1,0,53320
344,3.35E+12,PL,46.71,1,988664,M,1970,58098,15686,14573,2784,39628,1,1,0,27840
345,5.86E+12,PL,84.12,1,855196,Z,1960,7016,1859,1695,346,4811,1,1,0,3460
350,1.41E+12,PL,47.11,1,816755,Z,1984,150715,40690,67104,4295,105730,1,1,0,42950
351,8.87E+12,PL,49.41,1,638730,M,1969,235176,63505,89373,8231,163440,1,1,0,82310
354,2.90E+12,PL,86.22,1,78800,Z,1960,380417,102715,89373,18833,258869,1,1,0,188330
355,2.64E+12,PL,14.13,1,728435,Z,1980,241397,65216,89373,8681,167500,1,1,0,86810
359,2.87E+12,PL,47.11,1,578122,M,1988,316448,85445,89472,14153,216850,1,1,0,141530
370,9.62E+12,PL,49.32,1,462599,M,1982,7406,2220,3728,146,5040,1,1,0,1460
372,2.91E+12,PL,60.2,1,709114,Z,1981,629107,169857,96730,36250,423000,1,1,0,362500
373,3.13E+12,SVD,56.1,1,694170,M,1976,340441,91918,89373,15913,232610,1,1,0,159130
375,6.33E+12,PL,85.59,1,215972,M,1988,263763,71217,67086,12546,180000,1,1,0,125460
376,33498482972,PL,49.31,1,381507,M,1967,450210,121556,89373,23928,304726,1,1,0,239280
377,9.88E+12,PL,84.23,1,283915,Z,1959,218990,59285,89373,7035,152670,1,1,0,70350
378,7.00E+12,PL,42.11,1,960878,M,1967,132123,35745,48950,4743,91635,1,1,0,47430
379,4.41E+12,PL,85.2,1,571830,Z,1965,429261,115900,89373,22399,290962,1,1,0,223990
381,2.18E+12,PL,45.11,1,769239,M,1978,211032,56976,89472,6456,147600,1,1,0,64560
382,4.67E+12,PL,13.3,1,641260,Z,1971,39435,10648,14912,1387,27400,1,1,0,13870
384,2.33E+12,PL,78.2,1,335728,M,1995,35763,9656,13217,1289,24818,1,1,0,12890
395,2.39E+12,PL,82.99,1,389740,M,1972,233134,62945,89373,8081,162108,1,1,0,80810
399,8.03E+12,PL,85.59,1,82501,M,1981,426294,115104,89373,22186,289004,1,1,0,221860
408,3.50E+11,PL,11.07,1,20724,M,1975,452242,122112,89472,24069,306061,1,1,0,240690
410,1.62E+12,PL,73.2,1,651195,Z,1979,740400,199908,89472,45101,495391,1,1,0,451010
412,9.53E+12,PL,59.11,1,837198,M,1964,355557,96003,82016,17754,241800,1,1,0,177540
413,7.14E+12,PL,86.1,1,798936,Z,1961,861232,232531,89331,53938,574763,1,1,0,539380
414,7.13E+12,PL,84.11,1,784763,Z,1978,539381,145634,89373,30436,363311,1,1,0,304360
416,3.08E+12,PL,47.3,1,238848,M,1987,510700,137888,89373,28344,344468,1,1,0,283440
419,5.53E+12,PL,85.2,1,50742,M,1974,416086,112350,89373,21436,282300,1,1,0,214360
421,1.42E+12,PL,49.41,1,609070,Z,1978,198152,54004,89472,5468,138680,1,1,0,54680
422,2.00E+12,PL,91.02,1,293025,Z,1957,150301,40585,34199,7552,102164,1,1,0,75520
423,5.03E+12,PL,86.1,1,62072,Z,1994,351515,94905,89373,16722,239888,1,1,0,167220
425,1.37E+12,PL,78.2,1,715872,Z,1971,162133,43777,22368,9598,108758,1,1,0,95980
427,4.19E+12,PL,31.09,1,749713,M,1978,234556,63330,89373,8185,163041,1,1,0,81850
428,3.59E+12,PL,14.13,1,850628,Z,1970,117354,32037,41347,4397,80920,1,1,0,43970
429,8.56E+12,PL,35.11,1,710376,M,1952,7390,1995,0,539,4855,1,1,0,5390
432,5.86E+12,PL,84.12,1,776447,M,1957,251551,66665,69714,11521,173365,1,1,0,115210
434,5.38E+12,PL,47.78,1,596548,M,1972,200068,54016,89472,5652,140400,1,1,0,56520
435,5.86E+12,PL,84.12,1,294747,Z,1990,2223,589,1003,63,1571,1,1,0,630
437,1.97E+12,PL,14.13,1,983314,Z,1976,53336,14490,22083,1676,37170,1,1,0,16760
439,5.58E+12,PL,68.2,1,723929,Z,1993,116788,31532,36307,4895,80361,1,1,0,48950
442,1.20E+12,PL,46.32,1,130479,Z,1996,88838,23987,36925,2792,62059,1,1,0,27920
444,5.86E+12,PL,84.12,1,87924,Z,1984,126345,33482,16915,7594,85269,1,1,0,75940
450,6.93E+12,PL,84.23,1,256011,M,1979,668810,178128,89373,40134,450548,1,1,0,401340
451,5.29E+12,PL,60.2,1,676698,Z,1959,537713,145180,89373,30312,362221,1,1,0,303120
455,3.68E+12,PL,62.01,1,599703,M,1978,1529759,413034,89472,102725,1014000,1,1,0,1027250
456,7.09E+12,PL,78.2,1,386537,M,1960,196244,53326,82016,6089,136829,1,1,0,60890
465,5.77E+12,PL,85.42,1,662999,M,1983,880672,237780,89373,55352,587540,1,1,0,553520
468,3.08E+12,PL,47.3,1,542287,M,1987,610360,164797,89373,35619,409944,1,1,0,356190
471,6.99E+12,PL,81.22,1,190264,Z,1973,209717,56623,89373,6371,146723,1,1,0,63710
477,9.97E+12,PL,47.73,1,532789,Z,1988,388212,104820,89472,19392,264000,1,1,0,193920
480,5.86E+12,PL,84.12,1,416421,Z,1953,565023,152559,89373,32308,380156,1,1,0,323080
482,4.91E+12,PL,14.13,1,846612,Z,1996,174448,49651,79344,4695,120102,1,1,0,46950
484,9.42E+12,PL,71.11,1,343646,M,1954,4078,1101,1775,120,2857,1,1,0,1200
485,2.04E+12,PL,1.46,1,634463,M,1990,331772,89575,89373,15283,226914,1,1,0,152830
486,7.60E+12,PL,47.11,1,187977,M,1979,193962,52370,71578,7001,134591,1,1,0,70010
494,3.06E+12,PL,41.2,1,159716,M,1981,290796,78508,89488,12280,200008,1,1,0,122800
496,4.29E+11,PL,14.13,1,957312,Z,1981,186192,55334,89373,4147,126711,1,1,0,41470
497,9.32E+11,PL,85.2,1,137123,Z,1972,217017,58600,89357,6906,151512,1,1,0,69060
498,4.58E+12,PL,65.12,1,688972,M,1972,620223,167458,89375,36339,416426,1,1,0,363390
499,9.01E+12,PL,46.35,1,375106,M,1977,437791,118207,89373,23023,296561,1,1,0,230230
500,7.41E+11,PL,49.41,1,477578,Z,1994,81054,22751,37280,2103,56200,1,1,0,21030
504,3.94E+12,PL,8.12,1,668729,M,1994,102155,29813,48364,2282,70060,1,1,0,22820
505,7.73E+12,PL,14.13,1,168767,Z,1962,208009,56758,89373,6186,145065,1,1,0,61860
510,8.26E+12,PL,23.12,1,971315,M,1988,460503,124337,89039,24717,311449,1,1,0,247170
511,5.24E+11,PL,52.21,1,821751,M,1987,209029,56443,82016,7057,145529,1,1,0,70570
512,7.46E+12,PL,85.32,1,880276,Z,1966,444174,119937,89472,23481,300756,1,1,0,234810
513,5.31E+12,PL,53.2,1,345369,M,1995,18596,5021,6391,718,12857,1,1,0,7180
515,1.46E+11,PL,43.22,1,453515,M,1982,173763,46916,42025,8483,118364,1,1,0,84830
518,A898537287604,PL,47.59,1,953370,M,1988,167083,45117,74236,4774,117192,1,1,0,47740
520,3.68E+12,PL,36,1,204588,M,1956,235728,63644,74461,9762,162322,1,1,0,97620
523,3.55E+12,PL,46.9,1,572937,M,1989,258442,69781,82016,10661,178000,1,1,0,106610
531,5.84E+12,PL,47.72,1,955319,Z,1985,159891,43170,48125,6860,109861,1,1,0,68600
533,5.86E+12,PL,84.12,1,546554,Z,1957,83125,22029,55434,568,60528,1,1,0,5680
534,9.85E+12,PL,47.11,1,537232,Z,1993,51853,14000,19318,1853,36000,1,1,0,18530
538,9.97E+12,PL,41.2,1,694485,M,1983,502718,135730,89472,27755,339233,1,1,0,277550
543,7.09E+12,PL,93.12,1,607848,M,1953,91997,24840,34944,3221,63936,1,1,0,32210
545,3.94E+12,PL,10.82,1,533971,M,1960,212949,58712,89373,6487,147750,1,1,0,64870
546,6.58E+12,PL,84.12,1,487288,Z,1974,718398,193968,89373,43503,480927,1,1,0,435030
548,5.86E+12,PL,84.12,1,463030,M,1991,6672,1768,3344,156,4748,1,1,0,1560
555,1.56E+12,PL,7.29,1,26540,M,1969,657379,177493,87367,39249,440637,1,1,0,392490
556,1.37E+12,PL,78.2,1,743410,M,1990,173890,46949,41494,8546,118395,1,1,0,85460
561,7.59E+12,PL,14.13,1,868686,Z,1991,184272,54229,89373,4067,125976,1,1,0,40670
563,2.43E+12,PL,10.51,1,512196,M,1981,478852,129288,89373,26018,323546,1,1,0,260180
564,4.97E+12,PL,84.24,1,858817,M,1979,640040,172811,89373,37784,429445,1,1,0,377840
565,A041357014574,PL,55.1,1,964993,M,1990,127387,34396,56666,3631,89360,1,1,0,36310
567,5.86E+12,PL,84.12,1,331719,Z,1957,449235,121287,89373,23854,304094,1,1,0,238540
569,87989622250,PL,86.23,1,275258,Z,1978,213634,56897,89373,6737,150000,1,1,0,67370
570,1.80E+11,PL,92,1,896795,M,1981,420372,113503,89472,21739,285130,1,1,0,217390
571,3.84E+12,PL,41.2,1,207428,M,1963,286906,77465,89373,12006,197435,1,1,0,120060
574,1.45E+12,PL,96.03,1,847429,Z,1956,100020,27012,44736,2824,70184,1,1,0,28240
575,5.96E+11,SVD,56.1,1,315698,M,1988,8067,2179,3679,221,5667,1,1,0,2210
576,6.41E+12,PL,43.33,1,905496,Z,1966,220020,59405,89472,7115,153500,1,1,0,71150
578,3.13E+11,PL,14.13,1,502117,Z,1968,28338,7651,14813,587,20100,1,1,0,5870
579,A962121802385,PL,41.2,1,790008,M,1978,443054,119629,74187,24925,298500,1,1,0,249250
580,5.86E+12,PL,86.1,1,280660,Z,1986,297099,80214,83688,13320,203565,1,1,0,133200
583,2.39E+12,PL,82.99,1,656244,M,1979,499649,134908,89373,27540,337201,1,1,0,275400
584,4.78E+11,PL,52.23,1,810974,Z,1970,758002,204660,86230,46711,506631,1,1,0,467110
585,2.48E+12,PL,71.12,1,93032,M,1987,356652,96297,67104,19326,241029,1,1,0,193260
587,9.77E+12,PL,11.02,1,456364,M,1973,461256,124536,89472,24720,312000,1,1,0,247200
591,4.39E+12,PL,84.11,1,585234,M,1988,293505,79250,89373,12488,201767,1,1,0,124880
593,4.04E+12,PL,47.73,1,584855,Z,1980,356297,96214,89373,17072,243011,1,1,0,170720
595,9.52E+12,PL,46.22,1,5782,Z,1958,199233,53817,89373,5616,139800,1,1,0,56160
598,7.97E+12,PL,29.32,1,829202,M,1992,955,258,324,37,660,1,1,0,370
601,1.16E+12,PL,10.52,1,786951,M,1968,243963,65870,89472,8863,169230,1,1,0,88630
602,5.81E+12,PL,47.11,1,549451,M,1966,86395,24365,39991,2205,59825,1,1,0,22050
603,3.35E+12,PL,86.21,1,797321,M,1984,306010,82614,89472,13396,210000,1,1,0,133960
604,4.74E+12,PL,26.11,1,802601,M,1987,230776,62310,79644,8882,159584,1,1,0,88820
605,3.29E+12,PL,47.29,1,983647,M,1998,63851,17241,27790,1883,44727,1,1,0,18830
607,2.10E+12,PL,47.11,1,328361,Z,1991,223839,60436,89373,7403,156000,1,1,0,74030
611,7.15E+11,PL,47.24,1,755281,M,1969,184808,53736,89373,4172,126900,1,1,0,41720
613,6.92E+12,PL,84.13,1,102259,M,1973,502184,135594,89373,27724,338866,1,1,0,277240
615,5.58E+12,PL,88.91,1,377149,Z,1968,289663,78209,89472,12198,199256,1,1,0,121980
620,3.49E+12,PL,29.31,1,733239,M,1985,407708,110083,89375,20825,276800,1,1,0,208250
623,3.35E+12,PL,62.01,1,536957,Z,1986,289340,78122,31121,18010,193208,1,1,0,180100
626,5.42E+12,PL,10.71,1,220703,M,1981,187907,51118,82016,5477,131312,1,1,0,54770
629,2.55E+12,PL,47.72,1,85701,Z,1991,45828,13314,22368,1014,31500,1,1,0,10140
632,1.07E+12,PL,86.21,1,435533,Z,1978,69654,18807,22368,2847,48000,1,1,0,28470
633,5.50E+12,PL,47.11,1,665648,Z,1983,17511,4998,8378,413,12100,1,1,0,4130
634,9.94E+12,PL,64.19,1,823561,M,1977,816199,220367,89472,50632,545200,1,1,0,506320
635,7.97E+12,PL,43.22,1,400115,M,1988,222154,60795,89373,7199,154160,1,1,0,71990
639,6.90E+12,PL,7.29,1,732531,M,1968,10676,3220,0,746,6710,1,1,0,7460
640,6.90E+12,PL,10.39,1,81673,M,1961,203993,55079,81917,6701,142213,1,1,0,67010
642,4.97E+12,PL,84.24,1,599522,Z,1974,525192,141804,89373,29403,353985,1,1,0,294030
643,4.16E+12,PL,47.3,1,93370,M,1997,176219,47903,65060,6325,121991,1,1,0,63250
648,2.28E+12,PL,24.52,1,300299,M,1974,277333,78026,73452,12586,186721,1,1,0,125860
