ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONS_SERVICES,CONS_CONS_TAXES,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_CONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR,CONS_OTHER
416801101,1375.369289,3837.585954,25702.90128,1784.9237,24426.55858,33467.31937,1784.9237,32797.97298,5711.755839,26682.16421,12048.23497,20282.11245,3346.731937,5281.41807,10040.19581,21709.1345,0,0,0,892.4618499,30678.37609,0,0,13386.92775,669.3463874,0,0,8255.272111,8478.387574,3168.239567,4306.128426,0,13766.22403,8701.503036,3,0,28,23,1632,2017,296879.2682
416801102,825.2215735,6738.086967,20928.23038,1561.808237,11021.29257,24431.14314,2342.712356,24988.9318,780.9041186,11571.44029,11378.88859,7885.450591,5801.002024,1705.457919,4462.309249,18764.01039,5501.477157,0,0,2677.38555,21419.0844,0,0,8701.503036,1227.135044,0,1115.577312,5801.002024,0,4038.389871,4060.701417,0,9571.65334,6514.971504,4,0,28,23,1632,2017,204887.5405
416801201,550.1477157,3012.058743,24542.70087,1561.808237,8536.458722,9370.849424,2119.596893,3123.616475,0,770.2068019,8924.618499,11855.68327,4016.078324,1467.060575,1784.9237,19054.06049,2750.738578,0,0,892.4618499,13386.92775,0,0,6247.232949,669.3463874,0,892.4618499,4685.424712,0,4016.078324,3458.289668,0,5734.067385,4863.917082,6,0,28,23,901,2017,123744.1144
416801202,0,1963.41607,21240.59203,1784.9237,12800.10352,25769.83592,2342.712356,12048.23497,1561.808237,5804.0584,3569.8474,13084.3465,5131.655637,2017.208291,2900.501012,23159.385,6418.390016,0,0,5131.655637,20749.73801,0,0,6871.956244,3123.616475,0,669.3463874,8366.829843,0,4908.540174,3257.485752,0,13275.37002,6648.840782,5,0,28,23,901,2017,193359.8064
416801203,0,7496.679539,26863.10168,2677.38555,22537.71809,23761.79675,2231.154625,27443.20188,780.9041186,6014.948358,14948.73599,11708.97722,4685.424712,2970.797665,4685.424712,22958.58109,4584.564297,0,0,5131.655637,20080.39162,1338.692775,0,10040.19581,1450.250506,66.93463874,892.4618499,10709.5422,0,5778.690478,4975.474813,669.3463874,12762.20445,8813.060768,7,0,28,23,901,2017,242195.1965
416801204,1430.384061,7809.041186,20125.01471,1561.808237,13863.72244,24431.14314,2342.712356,9817.080349,1561.808237,8793.194322,10709.5422,0,5131.655637,1934.686133,4908.540174,23962.60067,5501.477157,0,0,2900.501012,20481.99945,0,0,6693.463874,602.4117487,0,446.2309249,5020.097906,0,4038.389871,4149.947602,0,6336.479134,6180.29831,4,0,28,23,901,2017,180609.2161
416801301,0,1450.250506,15573.45928,0,8848.209094,9370.849424,1784.9237,0,0,1668.781404,6693.463874,1604.597504,3904.520593,1283.678003,1338.692775,19076.37204,0,3569.8474,0,3346.731937,6693.463874,0,2454.270087,4016.078324,446.2309249,3346.731937,1115.577312,4239.193787,4908.540174,3926.832139,3346.731937,6693.463874,5198.590276,5734.067385,7,0,28,23,340,2017,116060.6903
416801302,0,1204.823497,7251.25253,669.3463874,4474.534754,4908.540174,1784.9237,5354.771099,0,1338.692775,6693.463874,0,3346.731937,806.8833163,557.7886562,13632.35476,0,0,0,0,6693.463874,0,1338.692775,3458.289668,0,0,0,3346.731937,4908.540174,3123.616475,2052.662255,6693.463874,3815.274408,3904.520593,3,0,28,23,340,2017,84108.11096
416811201,0,356.98474,5912.559755,0,3851.03401,3792.962862,0,11155.77312,0,0,4462.309249,0,0,641.8390016,0,4127.636056,366.7651438,0,0,0,5577.886562,0,4462.309249,1115.577312,0,0,0,2677.38555,0,1539.496691,2231.154625,2231.154625,1115.577312,2565.827818,2,0,32,23,1457.21,2017,52271.67393
416811202,1833.825719,2231.154625,12048.23497,0,7885.450591,9593.964886,0,7809.041186,0,825.2215735,8366.829843,0,2231.154625,2200.590863,0,14524.81661,2750.738578,0,0,8924.618499,10040.19581,0,4685.424712,1561.808237,0,0,0,4350.751518,0,4506.932342,2811.254827,0,2788.943281,3435.978122,3,0,32,23,1457.21,2017,103358.6964
