ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_C_SERVICES,CONS_C_TAXES,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_C_ONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR
410021203,0,5947.167718,16850.30853,3270.942245,17345.90584,0,14175.44086,69383.62338,2477.986549,52893.13207,17841.50315,43585.40725,0,3462.392165,0,40886.77806,10998.18688,0,0,2477.986549,101845.2472,0,0,4460.375788,0,0,24284.26818,11398.73813,0,7632.198571,14421.88172,0,12142.13409,15859.11391,3,0,7,24,9417.19,2017
410021204,2036.701273,11150.93947,65914.44221,2874.464397,95154.68349,0,47047.79941,101597.4485,2477.986549,12260.94166,40143.3821,52546.89285,34691.81169,7943.134966,6938.362338,80385.88365,10183.50637,0,44807.42801,59471.67718,146696.8037,0,0,15859.11391,29735.83859,0,0,20815.08701,0,29735.83859,20220.37024,37169.79824,26117.97823,38160.99286,9,0,7,24,9417.19,2017
410031101,0,5947.167718,6938.362338,1883.269777,20269.92997,0,23422.06464,2477.986549,0,345363.4349,21062.88567,24440.41528,5947.167718,3910.466445,1982.389239,20121.25078,8146.805093,0,0,0,89455.31442,1486.791929,0,5203.771753,2973.583859,0,5699.369063,16552.95015,0,7384.399916,9118.990501,0,11745.65624,17296.34611,4,0,7,24,1166.25,2017
410031102,3462.392165,17345.90584,32461.62379,1883.269777,30231.4359,0,32790.8905,74339.59647,17841.50315,3401.291126,26762.25473,0,9911.946196,6028.635769,15363.5166,77065.38168,10183.50637,0,0,42125.77133,133811.2737,0,0,16255.59176,14867.91929,0,17345.90584,16255.59176,0,11150.93947,6839.242876,0,9416.348887,18138.86154,4,0,7,24,1166.25,2017
410031201,1303.488815,8425.154267,17593.7045,2081.508701,27555.21043,0,24236.74515,34691.81169,9664.147542,122.2020764,17345.90584,55398.27463,4955.973098,4277.072674,7681.758302,33205.01976,7332.124584,0,0,84251.54267,84251.54267,0,9416.348887,7681.758302,4955.973098,0,10903.14082,10457.10324,0,10011.06566,6194.966373,0,7384.399916,15016.59849,5,0,7,24,3790.31,2017
410031202,2036.701273,9416.348887,23045.27491,6194.966373,22549.6776,0,22118.57583,123899.3275,10407.54351,3503.12619,41630.17403,0,8920.751577,4277.072674,4212.577133,46883.50551,8146.805093,0,0,59471.67718,74835.19378,0,0,6442.765028,2477.986549,0,9911.946196,11150.93947,0,10258.86431,6541.88449,0,6492.324759,14174.08306,4,0,7,24,3790.31,2017
410031203,1140.552713,2973.583859,15859.11391,0,20319.4897,0,19654.16729,14867.91929,8672.952922,0,17841.50315,17108.2907,0,1262.754789,4955.973098,20666.40782,0,0,0,2477.986549,34691.81169,0,0,5451.570408,1982.389239,0,4955.973098,8672.952922,64427.65028,8772.072384,5402.010677,0,6888.802607,13876.72468,3,0,7,24,3790.31,2017
410031204,1344.22284,7929.556957,11398.73813,2081.508701,11894.33544,0,8024.603017,29735.83859,2973.583859,81.46805093,12142.13409,0,9911.946196,1405.323879,3716.979824,35683.00631,4888.083056,0,0,1982.389239,56498.09332,0,0,5947.167718,2477.986549,0,7433.959647,6938.362338,0,5005.532829,4559.49525,2973.583859,7830.437495,11101.37974,2,0,7,24,3790.31,2017
410031301,488.8083056,6194.966373,9168.550232,1932.829508,21112.4454,0,10753.78272,9911.946196,3716.979824,40.73402546,17345.90584,27699.13732,0,2118.169324,1238.993275,30627.91375,5295.42331,0,0,0,52037.71753,0,0,5947.167718,4955.973098,0,2477.986549,4212.577133,0,6294.085835,5104.652291,1486.791929,4262.136864,12142.13409,5,0,7,24,2332.5,2017
410031302,1018.350637,26514.45608,11894.33544,1883.269777,93172.29425,0,28045.37653,14867.91929,2477.986549,509.1753183,63436.45566,0,12885.53006,4989.918119,1238.993275,73348.40185,4073.402546,0,0,49559.73098,30974.83186,1734.590584,41630.17403,18832.69777,0,0,0,47379.10282,0,15759.99445,27307.41177,0,18832.69777,45099.35519,15,0,7,24,2332.5,2017
