id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
194026,229342,74692,60014,7469
496623,228665,72865,59800,7286
45042,232744,232744,0,23274
519455,230768,104644,60379,10464
497129,221674,64714,60960,6471
114881,231722,71998,63724,7200
515818,233789,47265,0,4758
284279,230779,74301,60478,7430
346141,230321,74069,60252,7407
124696,228631,72844,59787,7284
102541,228652,72855,59797,7286
247842,195222,73010,50631,7301
753561,232771,75814,60957,7581
408820,220311,169914,24873,16991
22602,232343,75865,60478,7643
497985,233155,76079,61076,7608
673665,220678,103817,57383,10382
721701,182942,182942,0,27441
722476,230599,74138,60462,7414
500803,226821,81298,56201,8130
68370,200000,200000,0,20000
420602,212426,42485,0,4248
521414,232025,72218,63807,7222
124913,230304,74053,60251,7405
51202,188204,71901,51554,7208
46001,214175,59307,58868,5931
408663,212562,43571,0,4445
596764,193277,65770,53151,6577
392256,232060,73160,62900,7316
585379,213481,69768,55713,6977
493758,225575,67542,62033,6754
344616,217427,61635,59792,6163
430022,210077,69598,54692,6960
305344,230206,73955,60251,7395
621047,226394,73063,59149,7306
644333,218879,106006,45600,12687
545938,228192,86838,61238,8959
647844,218006,62054,59952,6205
654713,228691,72887,59804,7289
29334,216513,80061,57347,8294
213569,200822,69825,52140,6982
564975,228876,73021,59855,7302
507694,228048,69335,62713,6933
663500,195051,105513,43938,10807
383136,219084,62836,60248,6284
168025,234907,78442,60465,8035
434295,230271,74020,60251,7402
263564,217926,61996,59930,6200
223152,200877,40175,0,4018
82932,203331,82777,25805,11015
642062,232597,112079,60882,11208
495062,231735,75094,60641,7509
59525,234145,79298,61282,7930
305345,217443,61646,59797,6165
288550,221912,86460,55852,8646
305262,211335,58440,56895,5844
119068,203408,82117,46989,8212
98757,207090,105226,53864,10523
119085,224520,113268,57070,11621
58745,208489,208489,0,20849
601454,234284,76972,61312,7697
467258,233127,71683,62480,7317
223724,229073,73164,59909,7316
803028,222094,66836,61076,6684
390472,230122,73894,60228,7389
412049,193247,166220,0,24933
610348,216096,60670,59426,6067
585370,217188,61461,59727,6146
793790,234500,77007,61493,7701
405251,233964,73624,64340,7362
467108,195678,76381,47090,7638
210101,224509,69705,58804,6971
135094,217776,217776,0,21778
482584,219726,63301,60425,6330
2425,217478,67424,57880,6742
182199,222076,65005,61071,6501
140925,225018,68666,60352,6867
109643,215574,94876,58911,9555
85433,214320,197594,0,23105
776074,229418,46391,0,4671
