id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
480304,527111,286155,28616,0
659841,527172,288738,28925,0
517629,527174,445514,44551,0
617394,527176,286203,28620,0
385177,527218,292825,29282,0
521485,527285,286282,28628,0
253496,527288,291043,29970,0
5303,527291,298810,31535,0
480368,527412,321941,32194,0
493787,527434,290019,29070,0
593777,527447,286399,28640,0
36347,527514,290728,29290,0
308705,527518,467838,51287,0
223679,527534,315666,31567,0
431380,527564,289173,28917,0
207561,527570,339372,47536,0
448836,527573,286490,28649,0
342069,527577,290824,31159,0
701614,527605,289596,28960,0
798558,527623,304914,30491,0
265863,527716,290261,29026,0
517178,527725,290878,29088,0
210122,527732,290884,29088,0
484324,527742,286613,28661,0
460720,527784,286643,28664,0
219090,527785,243620,24362,0
665384,527831,289760,28976,0
588541,527832,287059,28706,0
110853,527878,286712,28671,0
375542,527886,298430,29902,0
603313,527927,527927,56322,0
324563,527938,294807,29481,0
230789,527955,290834,29083,0
717428,527963,286773,28677,0
85916,528014,307099,31760,0
358248,528027,289463,29427,0
687952,528039,289911,28991,0
317154,528080,362864,49545,0
53450,528128,287006,28701,0
733016,528132,309492,36329,0
348183,528132,286896,28690,0
369749,528134,299419,30104,0
708967,528134,301869,30187,0
65400,528158,289970,28997,0
212999,528166,304088,30607,0
316838,528175,291052,29105,0
791309,528177,284875,29139,0
630391,528186,297326,29733,0
627758,528218,291664,29201,0
17037,528234,136441,13644,0
470647,528236,124733,12473,0
267647,528240,297424,29742,0
751913,528277,235424,23542,0
328927,528290,360475,48849,0
170982,528324,292825,29283,0
659651,528352,490393,66120,0
199599,528360,358438,47543,0
562279,528383,297493,29749,0
135250,528415,290183,29018,0
623919,528420,296668,29667,0
652593,528440,521964,52196,0
367230,528442,161250,17621,0
575063,528456,290249,29047,0
642549,528460,295926,29593,0
105830,528468,299542,29954,0
564839,528482,309042,34885,0
259348,528490,301516,30152,0
217981,528493,290213,29021,0
300237,528505,287166,28717,0
798266,528506,293205,29321,0
7223,528517,291453,29145,0
348392,528526,296536,30793,0
652961,528537,106214,10653,0
644010,528545,296668,29667,0
1263,528558,299757,30035,0
744513,528569,312355,35807,0
606287,528572,309578,30958,0
85654,528584,199076,19908,0
694574,528607,344594,44165,0
431788,528627,310966,31097,0
548636,528639,297460,31040,0
74810,528643,290340,29034,0
771104,528655,311331,31613,0
537130,528658,299364,29936,0
392173,528685,287297,28730,0
727088,528687,296393,31978,0
448054,528688,321750,33328,0
340536,528702,295864,29586,0
96006,528716,339479,42874,0
103464,528742,343859,44103,0
74495,528768,291176,29118,0
250800,528789,305150,30530,0
299786,528794,290462,29046,0
211720,528799,292540,30136,0
593830,528820,298406,29841,0
802272,528823,290479,29048,0
94379,528828,292316,29232,0
445472,528876,200569,20057,0
840094,528880,105776,10578,0
696186,528882,305928,30593,0
50660,528887,367524,36752,0
110432,528893,300394,32060,0
464182,528893,291328,29133,0
723969,528898,287451,28745,0
797007,528902,298466,29847,0
717663,528906,290543,29054,0
393127,528927,322962,42335,0
36040,528939,287481,28748,0
647290,528980,290593,29059,0
148417,528983,291174,29117,0
627363,528987,352988,46642,0
248569,528991,290627,29063,0
132287,528996,287522,28752,0
414753,529011,134190,13451,0
588319,529028,290708,29071,0
27385,529030,287803,28780,0
643763,529051,287562,28756,0
214383,529065,294682,29468,0
212306,529103,289350,28976,0
583593,529112,305570,30557,0
362591,529126,291527,29153,0
645015,529137,339971,44886,0
580909,529154,287637,28764,0
517892,529163,348498,34850,0
525628,529195,306525,33522,0
555506,529217,399284,52339,0
298159,529228,311690,31169,0
538847,529242,311387,38153,0
368091,529251,290789,29079,0
205356,529280,314326,35574,0
480507,529326,329455,32946,0
348581,529338,313707,33470,0
385994,529359,313230,31323,0
247501,529361,307396,31137,0
168934,529371,346691,36434,0
50983,529394,300085,31538,0
196958,529398,308057,33925,0
74619,529413,339294,34280,0
318489,529427,224425,29814,0
104988,529430,293410,29341,0
78616,529435,291558,29276,0
222109,529449,287851,28785,0
634960,529459,291041,29104,0
482193,529469,298469,31184,0
303900,529520,287902,28790,0
414003,529550,287655,29142,0
236730,529573,105915,10592,0
122012,529596,287957,28796,0
605958,529612,288534,28853,0
326540,529622,302131,32120,0
141623,529633,291650,29165,0
346559,529640,288099,28810,0
407730,529641,292660,29266,0
351874,529659,153626,15615,0
354169,529661,302800,32915,0
383552,529662,289838,28984,0
602432,529672,288012,28801,0
641035,529673,295566,30597,0
414905,529692,529692,52969,0
522065,529702,105941,10594,0
266469,529702,292859,29436,0
117546,529714,302893,30289,0
304049,529724,281261,28126,0
463841,529741,308915,33291,0
460388,529753,301899,32704,0
474980,529780,206673,20856,0
449666,529795,293608,29570,0
272361,529825,291179,29118,0
582253,529829,291208,29121,0
511131,529830,202864,20286,0
471683,529847,429180,55835,0
357654,529859,314256,31426,0
472062,529861,296229,29743,0
46890,529893,294272,30536,0
328042,529929,300457,32274,0
570125,529930,529930,79490,0
684865,529936,297047,30458,0
155117,529937,319354,35093,0
130695,529943,195080,19757,0
284859,529970,529970,53940,0
560645,529973,291347,29135,0
529544,529981,371201,51643,0
163956,529995,288246,28825,0
8679,530027,296473,30528,0
513560,530047,290117,29012,0
422265,530048,226638,22664,0
135679,530081,264578,26621,0
439637,530089,330574,33057,0
121585,530098,333374,36357,0
132335,530101,288383,28849,0
299314,530102,343245,47892,0
444249,530133,304076,33267,0
325775,530135,107045,10768,0
114058,530137,297563,29756,0
103550,530152,291215,29168,0
712515,530153,291447,29145,0
744100,530165,282967,28801,0
642088,530181,288381,28838,0
544552,530201,305246,30525,0
541285,530243,291832,29242,0
202241,530248,294053,29405,0
340720,530266,297115,30594,0
703315,530269,327699,45448,0
794253,530292,297017,29702,0
81761,530310,258978,25980,0
447145,530329,302539,30254,0
318498,530336,310559,31691,0
443638,530338,295307,30553,0
172858,530339,517504,51750,0
795444,530340,290330,29033,0
84223,530348,288502,28850,0
461780,530377,530377,79557,0
747683,530426,460010,68077,0
473384,530434,258290,31751,0
720634,530434,289044,28948,0
122142,530448,313437,31344,0
112664,530482,308555,30856,0
26496,530486,296008,29601,0
282925,530490,291702,29174,0
442990,530502,288614,28861,0
687290,530505,327161,33069,0
345051,530523,341302,34139,0
329016,530539,291707,29171,0
584747,530541,288642,28864,0
