legal_form,sector,province,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,citax
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Kujawsko-Pomorskie,353595.0,0.0,353595.0,67183.05
 OSP.17 Limited liability companies ,Real Estate,Wielkopolskie,4526380.0,0.0,4526380.0,860012.2
 OSP.17 Limited liability companies ,Admin and Support Services,Podkarpackie,76284.0,0.0,76284.0,14493.960000000001
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podkarpackie,52356.0,0.0,52356.0,9947.64
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,329410.0,0.0,329410.0,62587.9
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Kujawsko-Pomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Admin and Support Services,Podlaskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,314390.0,0.0,314390.0,59734.1
 OSP.17 Limited liability companies ,Manufacturing,Zachodniopomorskie,2183768.0,0.0,2183768.0,414915.92
 OSP.17 Limited liability companies ,Admin and Support Services,Podlaskie,1053076.0,0.0,1053076.0,200084.44
 OSP.16 Joint stock companies ,Admin and Support Services,Podlaskie,68389.0,0.0,68389.0,12993.91
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Śląskie,13437.0,0.0,13437.0,2553.03
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Warmińsko-Mazurskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podlaskie,1285723.0,0.0,1285723.0,244287.37
 OSP.17 Limited liability companies ,Transportation and Storage,Mazowieckie,115544.0,0.0,115544.0,21953.36
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podlaskie,173797.0,0.0,173797.0,33021.43
 OSP.17 Limited liability companies ,Manufacturing,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Utilities,Śląskie,397473.0,0.0,397473.0,75519.87
 OSP.17 Limited liability companies ,Real Estate,Zachodniopomorskie,47110.0,0.0,47110.0,8950.9
 OSP.40 Cooperatives ,Real Estate,Mazowieckie,364716.0,0.0,364716.0,69296.04
 OSP.17 Limited liability companies ,Professional/Scientific,Kujawsko-Pomorskie,61042.0,0.0,61042.0,11597.98
 OSP.17 Limited liability companies ,Real Estate,Podlaskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Transportation and Storage,Kujawsko-Pomorskie,321771.0,0.0,321771.0,61136.49
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,677681.0,0.0,677681.0,128759.39
 OSP.17 Limited liability companies ,Health,Mazowieckie,1046594.0,0.0,1046594.0,198852.86000000002
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Warmińsko-Mazurskie,1378713.0,0.0,1378713.0,261955.47
 OSP.40 Cooperatives ,Finance,Wielkopolskie,2155535.0,0.0,2155535.0,409551.65
 OSP.17 Limited liability companies ,Admin and Support Services,Śląskie,7989929.0,0.0,7989929.0,1518086.51
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,15499.0,0.0,15499.0,2944.81
 OSP.17 Limited liability companies ,Admin and Support Services,Podlaskie,479565.0,0.0,479565.0,91117.35
 OSP.17 Limited liability companies ,Professional/Scientific,Podlaskie,889385.0,0.0,889385.0,168983.15
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podlaskie,111030.0,0.0,111030.0,21095.7
 OSP.17 Limited liability companies ,Health,Mazowieckie,141511.0,0.0,141511.0,26887.09
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Warmińsko-Mazurskie,197916.0,0.0,197916.0,37604.04
 OSP.17 Limited liability companies ,Construction,Podlaskie,2253631.0,0.0,2253631.0,428189.89
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,402599.0,0.0,402599.0,76493.81
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Professional/Scientific,Mazowieckie,261218.0,0.0,261218.0,49631.42
 OSP.17 Limited liability companies ,Construction,Mazowieckie,634537.0,0.0,634537.0,120562.03
 OSP.17 Limited liability companies ,ICT,Wielkopolskie,1208813.0,0.0,1208813.0,229674.47
 OSP.17 Limited liability companies ,Construction,Pomorskie,1945119.0,0.0,1945119.0,369572.61
 OSP.17 Limited liability companies ,Health,Pomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Hotels and Restaurants,Pomorskie,1636940.0,0.0,1636940.0,311018.6
 OSP.40 Cooperatives ,Real Estate,Wielkopolskie,147000.0,0.0,147000.0,27930.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Lubelskie,373608.0,0.0,373608.0,70985.52
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,367828.0,0.0,367828.0,69887.32
 OSP.17 Limited liability companies ,Manufacturing,Śląskie,85244.0,0.0,85244.0,16196.36
 OSP.17 Limited liability companies ,Manufacturing,Pomorskie,955676.0,0.0,955676.0,181578.44
 OSP.17 Limited liability companies ,Not determined,Łódzkie,12862.0,0.0,12862.0,2443.78
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Pomorskie,243956.0,0.0,243956.0,46351.64
 OSP.17 Limited liability companies ,Construction,Wielkopolskie,268897.0,0.0,268897.0,51090.43
 OSP.17 Limited liability companies ,Not determined,Wielkopolskie,201081.0,0.0,201081.0,38205.39
