id_n,Salaries
410564,710
844944,10121
114508,1047
272475,2353
741419,9297
881995,1111
435609,13744
306907,8942
553812,5918
817839,6003
139798,4365
274411,428
596465,428
473159,1050
420571,7029
857930,2353
787137,1686
166700,7711
604840,2353
850639,12812
456890,5085
504779,2139
116330,11122
849045,11713
823118,1729
367593,510
573092,1638
517612,5985
779489,6101
141602,9067
854630,2353
266287,11209
565440,5225
304132,10000
867176,1296
77928,1765
596346,6667
824325,4521
111817,11111
527481,2100
425014,4647
618462,12875
300617,12291
727933,5556
384352,11209
71787,11222
251172,2011
871754,805
410498,9890
525240,560
596284,4206
855390,13140
325743,4800
380093,10735
50144,1419
246709,3960
559280,12317
590230,1680
771959,7110
447043,14222
842233,9752
822963,856
573094,3110
139758,4587
596401,5775
676246,1880
667265,11111
328716,2670
263882,3207
825474,5458
834350,3333
214822,4848
176280,13807
459685,10913
741356,634
640724,3315
709646,4609
227632,698
845842,3900
837441,10290
174598,10907
827369,2544
607963,6666
141195,2220
514369,4000
710461,11098
228443,1097
467940,10887
458291,4280
808978,15268
857250,4285
879903,1047
565675,1847
278894,11561
461711,15125
846072,7059
378340,14397
686719,747
669263,5146
859357,4887
298849,3367
781526,3200
841308,5810
269851,10405
325369,3529
40514,7701
328757,2353
373839,500
360709,1500
694205,2048
867871,235
214092,400
520337,2096
689882,2243
867744,1111
229735,1845
826019,4118
175364,3923
669389,1512
739539,9776
490974,1323
768577,9240
274918,588
859167,4290
514444,15121
721309,422
571701,6400
492803,6522
877650,642
379663,3333
585854,1000
45027,14118
632430,12102
872925,1120
567002,620
842251,369
868924,13062
316352,3333
457085,3301
51778,9655
788499,14647
57507,1724
827283,8971
834627,2222
213365,702
848205,6778
413609,7980
797910,11222
323936,4214
633063,3801
833226,4913
862240,2148
701834,1800
657588,4757
874981,12444
359964,135
256444,4200
694377,3474
378438,2915
330063,3538
502760,9318
470219,40
826207,390
831550,7340
271751,11209
715985,4706
828631,6869
183313,8000
469141,1716
526012,2100
82412,583
181544,10975
261446,210
82415,8114
740904,1000
232755,2090
878371,8040
51582,3395
843292,1340
476104,8324
871233,100
635955,1424
222949,1615
827887,2751
673216,24
641760,4708
226117,14906
850351,3529
592862,2353
867954,5739
181422,8
140343,14876
626535,636
128926,2045
477470,530
847064,9114
868353,1258
882550,2000
875198,1047
839797,2099
686538,2100
721341,3542
831097,7059
643134,136
117164,300
262911,400
825158,7345
327767,9014
413630,14594
685731,14091
855441,5183
39716,100
534505,424
471432,3225
274261,333
775938,3890
846878,219
114663,4017
567266,5870
454123,11302
44782,4822
522017,9065
835453,1333
730446,600
91656,484
637232,3250
429547,2557
536984,11222
621525,7058
165148,3204
846936,100
141548,11085
838951,900
779785,12360
856353,2353
310442,3529
514323,4416
488172,7980
508075,3874
855382,2353
835606,11765
724819,366
590372,3446
776106,11567
463295,420
124324,12065
518939,477
231899,80
88829,14756
640186,3334
850520,12823
313888,6833
637126,1433
588912,12800
692803,525
860783,13138
178469,1232
573253,8240
321137,3030
416506,3028
281962,9889
261581,5044
869842,1860
616679,3448
641560,9831
837445,7728
872802,4940
625183,3964
556565,5482
188363,2353
829548,8336
830263,2031
720464,572
345624,2976
871228,430
878732,1568
832928,460
136418,624
115175,858
770747,2174
644497,689
328384,68
862685,3016
607920,3427
456673,60
838435,1144
593291,829
860075,2031
390383,10739
781561,320
834271,6120
410144,3333
691168,2116
867936,15420
133631,3334
124264,3261
843944,2726
796182,8307
526045,2566
214784,482
747937,100
473715,4463
643484,800
311907,12859
603346,9883
325225,6884
213324,1510
618171,8170
685143,640
311200,11222
132010,1000
469302,1700
866161,588
454671,10551
45878,11209
597968,3168
660547,873
422670,12132
680629,6075
322551,1169
376673,525
150634,6667
46876,14055
680659,9846
628187,3500
861611,15000
418445,16
865000,12700
823833,8571
867509,4625
866662,2000
562975,11073
855143,588
646229,9792
328799,3333
812250,556
562711,10626
776562,706
831040,5882
859821,588
174138,5905
771471,8290
833704,7306
567272,5035
330091,1111
174773,598
847910,3333
833110,2513
235737,7771
845406,7661
271551,15367
869137,13998
838249,3529
857945,5585
839145,3333
536231,6667
868089,10585
712449,5587
476317,3675
139709,3097
849836,1047
834968,8910
468311,8085
837936,3333
263852,7059
187811,5273
848266,428
860973,2238
685109,10064
850215,7412
882618,5801
281558,412
877026,500
832236,9412
96264,3286
855272,12147
857956,15000
671739,1225
732100,1934
861383,2006
832154,4706
875281,100
876272,1222
336223,1982
720433,7916
467847,14718
99775,6574
837088,1849
830377,588
279301,1445
768081,713
832065,1216
378434,44
585691,2263
409130,9514
720069,3360
871446,9000
425143,1424
853048,5882
850409,6222
600431,3204
730896,2056
334824,7184
835587,440
13433,1146
559438,14514
863527,2068
189588,12624
369032,7059
411792,11112
284682,2599
621325,4131
360192,1444
882821,6829
564000,3529
844691,10500
643253,610
812815,1706
443859,10778
359944,604
470867,16
768364,7392
856918,3333
78217,5153
727407,1667
844036,2221
774685,10232
554854,14372
491483,11111
829660,10510
429692,2353
426499,20
82380,4519
456344,11222
534517,5436
176761,779
839790,6530
859552,1132
721895,360
68101,2608
42115,2353
323858,7842
183284,3100
91317,396
845010,1377
864853,8000
826225,13363
408555,5546
834487,460
255484,4706
218610,1800
598978,667
138046,13300
252398,2353
646901,250
234297,2913
360927,4706
879803,1887
559631,6873
717561,80
858317,12995
721260,8333
261319,1904
287077,14666
835402,2000
869187,698
180721,2839
691285,400
233476,977
410025,3762
870582,270
410650,530
585953,3336
881617,2000
833877,9570
848504,3000
227318,14414
399810,10000
648589,4673
842622,14058
575676,1821
162546,10443
410577,1525
416612,6609
842260,1111
378423,14700
727683,80
534576,3859
81519,4161
866099,7059
860271,11836
